alpha,beta,vehicle_loss,animal_loss,vehicle_acc,animal_acc,avg_loss,worst_loss,avg_acc,worst_acc
-0.175,0.35,2.9719497680664064,1.4330610699123807,0.07222222222222222,0.4101851851851852,2.202505418989394,2.9719497680664064,0.2412037037037037,0.07222222222222222
-0.175,0.42499999999999993,3.3811938815646703,1.4089342258594655,0.0375,0.4222222222222222,2.3950640537120678,3.3811938815646703,0.2298611111111111,0.0375
-0.175,0.5,3.8391659206814235,1.385746263574671,0.015277777777777777,0.4324074074074074,2.6124560921280473,3.8391659206814235,0.2238425925925926,0.015277777777777777
-0.175,0.575,4.332940080430773,1.3632219597145363,0.004166666666666667,0.4398148148148148,2.8480810200726547,4.332940080430773,0.22199074074074074,0.004166666666666667
-0.175,0.6499999999999999,4.847856733534071,1.3413943891172055,0.0,0.45,3.094625561325638,4.847856733534071,0.225,0.0
-0.175,0.725,5.368206787109375,1.3207351684570312,0.0,0.4638888888888889,3.344470977783203,5.368206787109375,0.23194444444444445,0.0
-0.175,0.8,5.881449042426215,1.3020133972167969,0.0,0.47685185185185186,3.591731219821506,5.881449042426215,0.23842592592592593,0.0
-0.175,0.875,6.378074985080295,1.2863852818806967,0.0,0.49074074074074076,3.832230133480496,6.378074985080295,0.24537037037037038,0.0
-0.175,0.95,6.852335611979167,1.2752828103524667,0.0,0.5046296296296297,4.063809211165816,6.852335611979167,0.2523148148148148,0.0
-0.175,1.025,7.301132880316841,1.2702831127025462,0.0,0.5055555555555555,4.285707996509694,7.301132880316841,0.25277777777777777,0.0
-0.175,1.0999999999999999,7.722476535373264,1.2727062472590693,0.0,0.5027777777777778,4.497591391316167,7.722476535373264,0.2513888888888889,0.0
-0.175,1.175,8.11481441921658,1.2835809495713977,0.0,0.49444444444444446,4.699197684393989,8.11481441921658,0.24722222222222223,0.0
-0.175,1.25,8.478221299913194,1.3033100410743996,0.0,0.47962962962962963,4.890765670493797,8.478221299913194,0.23981481481481481,0.0
-0.1,-0.25,1.324723137749566,1.770290869253653,0.5486111111111112,0.3277777777777778,1.5475070035016096,1.770290869253653,0.43819444444444444,0.3277777777777778
-0.1,-0.175,1.3800773620605469,1.7130032857259114,0.5333333333333333,0.34074074074074073,1.5465403238932292,1.7130032857259114,0.437037037037037,0.34074074074074073
-0.1,-0.1,1.454174084133572,1.6597162741201896,0.5041666666666667,0.3527777777777778,1.5569451791268807,1.6597162741201896,0.42847222222222225,0.3527777777777778
-0.1,-0.025000000000000022,1.5516744401719835,1.6106786162764937,0.4777777777777778,0.3731481481481482,1.5811765282242387,1.6106786162764937,0.425462962962963,0.3731481481481482
-0.1,0.04999999999999999,1.6786451975504557,1.565953184057165,0.4236111111111111,0.387037037037037,1.6222991908038105,1.6786451975504557,0.40532407407407406,0.387037037037037
-0.1,0.125,1.8426751878526475,1.5254374327483,0.36666666666666664,0.3962962962962963,1.6840563103004738,1.8426751878526475,0.3814814814814815,0.36666666666666664
-0.1,0.19999999999999996,2.0519468095567492,1.488992910031919,0.28055555555555556,0.40925925925925927,1.7704698597943342,2.0519468095567492,0.34490740740740744,0.28055555555555556
-0.1,0.275,2.315392854478624,1.4561626787538882,0.1875,0.4111111111111111,1.885777766616256,2.315392854478624,0.29930555555555555,0.1875
-0.1,0.35,2.639146423339844,1.4263593956276222,0.11805555555555555,0.41944444444444445,2.032752909483733,2.639146423339844,0.26875,0.11805555555555555
-0.1,0.42499999999999993,3.024946763780382,1.3988212090951424,0.05694444444444444,0.42592592592592593,2.211883986437762,3.024946763780382,0.2414351851851852,0.05694444444444444
-0.1,0.5,3.467945777045356,1.3729565655743634,0.02361111111111111,0.43703703703703706,2.4204511713098595,3.467945777045356,0.23032407407407407,0.02361111111111111
-0.1,0.575,3.956999037000868,1.3482934245356808,0.005555555555555556,0.44722222222222224,2.6526462307682745,3.956999037000868,0.2263888888888889,0.005555555555555556
-0.1,0.6499999999999999,4.4761021084255646,1.3247560501098632,0.0,0.46111111111111114,2.900429079267714,4.4761021084255646,0.23055555555555557,0.0
-0.1,0.725,5.00708482530382,1.302708265516493,0.0,0.475,3.1548965454101565,5.00708482530382,0.2375,0.0
-0.1,0.8,5.534865654839409,1.282871832670989,0.0,0.48518518518518516,3.408868743755199,5.534865654839409,0.24259259259259258,0.0
-0.1,0.875,6.047770521375868,1.2663338625872578,0.0,0.5037037037037037,3.657052191981563,6.047770521375868,0.2518518518518518,0.0
-0.1,0.95,6.5382227579752605,1.254454411400689,0.0,0.5175925925925926,3.8963385846879746,6.5382227579752605,0.2587962962962963,0.0
-0.1,1.025,7.001999918619791,1.248705221105505,0.0,0.5166666666666667,4.125352569862648,7.001999918619791,0.25833333333333336,0.0
-0.1,1.0999999999999999,7.436293707953559,1.2504047605726454,0.0,0.5175925925925926,4.343349234263102,7.436293707953559,0.2587962962962963,0.0
-0.1,1.175,7.840702819824219,1.2603738360934786,0.0,0.5120370370370371,4.550538327958849,7.840702819824219,0.25601851851851853,0.0
-0.1,1.25,8.214205593532986,1.2789866164878563,0.0,0.49722222222222223,4.746596105010421,8.214205593532986,0.24861111111111112,0.0
-0.025000000000000022,-0.25,1.2234884262084962,1.834949917263455,0.5888888888888889,0.3194444444444444,1.5292191717359755,1.834949917263455,0.45416666666666666,0.3194444444444444
-0.025000000000000022,-0.175,1.2630071851942275,1.7687566969129773,0.5736111111111111,0.3287037037037037,1.5158819410536024,1.7687566969129773,0.4511574074074074,0.3287037037037037
-0.025000000000000022,-0.1,1.3182915581597223,1.7065096395987052,0.5513888888888889,0.35185185185185186,1.5124005988792137,1.7065096395987052,0.4516203703703704,0.35185185185185186
-0.025000000000000022,-0.025000000000000022,1.393719482421875,1.6486376303213615,0.5236111111111111,0.3685185185185185,1.5211785563716183,1.6486376303213615,0.44606481481481486,0.3685185185185185
-0.025000000000000022,0.04999999999999999,1.4948776668972439,1.5953903339527271,0.4847222222222222,0.39166666666666666,1.5451340004249854,1.5953903339527271,0.43819444444444444,0.39166666666666666
-0.025000000000000022,0.125,1.628929646809896,1.54693625414813,0.43194444444444446,0.40370370370370373,1.587932950479013,1.628929646809896,0.41782407407407407,0.40370370370370373
-0.025000000000000022,0.19999999999999996,1.8048810323079427,1.5032475294890226,0.36666666666666664,0.41574074074074074,1.6540642808984827,1.8048810323079427,0.3912037037037037,0.36666666666666664
