layer,expert,tensor_count,changed_tensors,max_relative_delta_norm,mean_relative_delta_norm,target_cap,delta_scale,scaled,predicted_max_relative_delta_norm
0,90,3,3,0.6000015670043944,0.5945404850151226,0.65,1.0,False,0.6000015670043944
0,91,3,3,0.1993511870246651,0.19262891845111765,0.65,1.0,False,0.1993511870246651
0,92,3,3,0.086452155362691,0.08454774101118163,0.65,1.0,False,0.086452155362691
0,93,3,3,0.2875065720174747,0.27666646050421284,0.65,1.0,False,0.2875065720174747
0,94,3,0,0.0,0.0,0.65,1.0,False,0.0
0,95,3,3,0.1345661895627193,0.12911213679195221,0.65,1.0,False,0.1345661895627193
0,96,3,0,0.0,0.0,0.65,1.0,False,0.0
0,97,3,3,0.1590801936224822,0.1555044828328952,0.65,1.0,False,0.1590801936224822
0,98,3,3,0.2403441948640398,0.2375235923710877,0.65,1.0,False,0.2403441948640398
0,99,3,0,0.0,0.0,0.65,1.0,False,0.0
0,100,3,3,0.2058585249440338,0.20236527702288587,0.65,1.0,False,0.2058585249440338
0,101,3,3,0.292589378145142,0.28938447845440146,0.65,1.0,False,0.292589378145142
0,102,3,0,0.0,0.0,0.65,1.0,False,0.0
0,103,3,3,0.6761711946453305,0.6622306603385428,0.65,0.9612950169238458,True,0.65
0,104,3,3,0.1047503638838496,0.10154047375434629,0.65,1.0,False,0.1047503638838496
0,105,3,3,0.1615834729018505,0.1555445089006355,0.65,1.0,False,0.1615834729018505
0,106,3,3,0.1662958962554613,0.16220222631720463,0.65,1.0,False,0.1662958962554613
0,107,3,3,0.2455733779544245,0.23355548654024758,0.65,1.0,False,0.2455733779544245
0,108,3,0,0.0,0.0,0.65,1.0,False,0.0
0,109,3,3,0.0863457176903867,0.08279505380804457,0.65,1.0,False,0.0863457176903867
0,110,3,3,0.364501934109707,0.3555622832491014,0.65,1.0,False,0.364501934109707
0,111,3,3,0.166852580119606,0.16396501070995786,0.65,1.0,False,0.166852580119606
0,112,3,3,0.2735444807167544,0.2675053120875341,0.65,1.0,False,0.2735444807167544
0,113,3,0,0.0,0.0,0.65,1.0,False,0.0
0,114,3,3,0.1865770822506342,0.18251132350564203,0.65,1.0,False,0.1865770822506342
0,115,3,3,0.1072749668082593,0.10421788875588966,0.65,1.0,False,0.1072749668082593
0,116,3,3,0.2695644741203586,0.26045395039248764,0.65,1.0,False,0.2695644741203586
0,117,3,0,0.0,0.0,0.65,1.0,False,0.0
0,118,3,3,0.0902619794289162,0.0889149477894135,0.65,1.0,False,0.0902619794289162
0,119,3,0,0.0,0.0,0.65,1.0,False,0.0
